['s2', '192.240.1.2', 9.806505918502808, 1654120429.943219, 'hit']
['s2', '192.240.1.2', 9.843406915664673, 1654120429.98012, 'hit']
['s2', '192.240.1.2', 10.454308986663818, 1654120430.591023, 'hit']
['s2', '192.240.1.2', 10.51869797706604, 1654120430.655412, 'hit']
['s2', '192.240.1.2', 11.133957862854004, 1654120431.270672, 'hit']
['s2', '192.240.1.2', 11.17409896850586, 1654120431.310812, 'hit']
['s2', '192.240.1.2', 11.750197887420654, 1654120431.886912, 'hit']
['s2', '192.240.1.2', 11.857555866241455, 1654120431.994269, 'hit']
['s2', '192.240.1.2', 12.424247026443481, 1654120432.56096, 'hit']
['s2', '192.240.1.2', 12.47845196723938, 1654120432.615166, 'hit']
['s2', '192.0.1.6', 12.737897872924805, 1654120432.874611, 'hit']
['s2', '192.240.1.2', 13.190129041671753, 1654120433.326843, 'hit']
['s2', '192.240.1.2', 13.26695203781128, 1654120433.403665, 'hit']
['s2', '192.0.1.6', 13.467025995254517, 1654120433.60374, 'hit']
['s2', '192.240.1.2', 13.821753978729248, 1654120433.958467, 'hit']
['s2', '192.0.1.6', 14.062361001968384, 1654120434.199074, 'hit']
['s2', '192.240.1.2', 14.43202805519104, 1654120434.568742, 'hit']
['s2', '192.240.10.1', 14.469629049301147, 1654120434.606342, 'hit']
['s2', '192.240.1.2', 14.514671087265015, 1654120434.651384, 'hit']
['s2', '192.0.1.6', 14.777876853942871, 1654120434.91459, 'hit']
['s2', '192.240.1.2', 15.105289936065674, 1654120435.242003, 'hit']
['s2', '192.240.1.2', 15.135165929794312, 1654120435.271879, 'hit']
['s2', '192.240.1.1', 15.24610686302185, 1654120435.38282, 'hit']
['s2', '192.0.1.6', 15.358463048934937, 1654120435.495176, 'hit']
['s2', '192.0.1.8', 15.524375915527344, 1654120435.66109, 'hit']
['s2', '192.240.1.2', 15.773585081100464, 1654120435.910298, 'hit']
['s2', '192.240.1.2', 15.851688861846924, 1654120435.988403, 'hit']
['s2', '192.0.1.6', 16.116270065307617, 1654120436.252984, 'hit']
['s2', '192.0.1.8', 16.26774287223816, 1654120436.404456, 'hit']
['s2', '192.240.1.2', 16.479238033294678, 1654120436.615952, 'hit']
['s2', '192.240.1.1', 16.6229829788208, 1654120436.759697, 'hit']
